post,azimuth,wind_direction,concentration,distance
32,118.0,1.26,0.3589,100
32,118.0,1.26,0.058199999999999995,200
33,121.0,2.51,0.7296,50
33,121.0,2.51,0.08245000000000001,100
33,121.0,2.51,0.029099999999999997,200
34,124.0,0.42,0.40319999999999995,50
34,124.0,0.42,0.08245000000000001,100
35,127.0,0.42,0.3168,50
35,127.0,0.42,0.03395,100
38,136.0,0.84,0.033600000000000005,50
15,67.0,2.08,1.1367999999999998,50
15,67.0,2.08,0.2619,100
16,70.0,2.5,2.3127999999999997,50
16,70.0,2.5,0.7953999999999999,100
16,70.0,2.5,0.0637,200
17,73.0,1.25,3.0282,50
17,73.0,1.25,0.8245,100
17,73.0,1.25,0.1323,200
18,76.0,2.92,3.9004,50
18,76.0,2.92,1.0379,100
18,76.0,2.92,0.20579999999999998,200
19,79.0,5.42,5.517399999999999,50
19,79.0,5.42,1.4064999999999999,100
19,79.0,5.42,0.3332,200
20,82.0,5.83,7.007000000000001,50
20,82.0,5.83,1.6199,100
20,82.0,5.83,0.45080000000000003,200
21,85.0,7.08,7.9184,50
21,85.0,7.08,2.231,100
21,85.0,7.08,0.45080000000000003,200
22,88.0,13.34,7.987,50
22,88.0,13.34,3.1136999999999997,100
22,88.0,13.34,0.5194,200
23,91.0,11.67,7.987,50
23,91.0,11.67,2.231,100
23,91.0,11.67,0.637,200
24,94.0,8.75,7.546,50
24,94.0,8.75,2.3377,100
24,94.0,8.75,0.6859999999999999,200
25,97.0,5.83,6.6836,50
25,97.0,5.83,2.4734999999999996,100
25,97.0,5.83,0.735,200
26,100.0,6.25,6.859999999999999,50
26,100.0,6.25,2.1631,100
26,100.0,6.25,0.5488000000000001,200
