post,azimuth,wind_direction,concentration,distance,U,q
10,52,13.74,4.606,100,8.76,9.16
10,52,13.74,1.1904,200,8.76,9.16
11,55,12.46,11.114999999999998,50,8.76,9.16
11,55,12.46,3.7693999999999996,100,8.76,9.16
11,55,12.46,1.0272000000000001,200,8.76,9.16
12,58,14.38,8.4835,50,8.76,9.16
12,58,14.38,2.5473999999999997,100,8.76,9.16
12,58,14.38,0.7392,200,8.76,9.16
13,61,6.39,5.7475,50,8.76,9.16
13,61,6.39,1.3912,100,8.76,9.16
13,61,6.39,0.33599999999999997,200,8.76,9.16
14,64,8.31,3.4294999999999995,50,8.76,9.16
14,64,8.31,0.9306,100,8.76,9.16
14,64,8.31,0.1248,200,8.76,9.16
15,67,4.15,2.1945,50,8.76,9.16
15,67,4.15,0.3478,100,8.76,9.16
15,67,4.15,0.0288,200,8.76,9.16
16,70,3.19,0.8265,50,8.76,9.16
16,70,3.19,0.1504,100,8.76,9.16
16,70,3.19,0.0048,200,8.76,9.16
17,73,0.32,0.14725,50,8.76,9.16
17,73,0.32,0.0047,100,8.76,9.16
26,100,0.42,1.4784,50,3.86,9.31
26,100,0.42,0.9023999999999999,100,3.86,9.31
26,100,0.42,0.3069,200,3.86,9.31
27,103,0.63,2.2655999999999996,50,3.86,9.31
27,103,0.63,1.0903999999999998,100,3.86,9.31
27,103,0.63,0.2883,200,3.86,9.31
28,106,0.84,2.5152,50,3.86,9.31
28,106,0.84,1.3159999999999998,100,3.86,9.31
28,106,0.84,0.5859000000000001,200,3.86,9.31
29,109,2.09,3.5328,50,3.86,9.31
29,109,2.09,1.9457999999999998,100,3.86,9.31
29,109,2.09,0.6416999999999999,200,3.86,9.31
30,112,1.67,5.0496,50,3.86,9.31
30,112,1.67,1.8987999999999998,100,3.86,9.31
30,112,1.67,0.465,200,3.86,9.31
31,115,7.11,4.8191999999999995,50,3.86,9.31
31,115,7.11,1.1092,100,3.86,9.31
31,115,7.11,0.29760000000000003,200,3.86,9.31
32,118,3.35,6.086399999999999,50,3.86,9.31
32,118,3.35,0.7332,100,3.86,9.31
32,118,3.35,0.13485,200,3.86,9.31
33,121,7.95,5.2224,50,3.86,9.31
33,121,7.95,1.0058,100,3.86,9.31
33,121,7.95,0.11625,200,3.86,9.31
34,124,4.18,4.1952,50,3.86,9.31
34,124,4.18,0.8178,100,3.86,9.31
34,124,4.18,0.15345,200,3.86,9.31
35,127,1.26,2.5728,50,3.86,9.31
35,127,1.26,0.6956,100,3.86,9.31
35,127,1.26,0.15345,200,3.86,9.31
36,130,3.35,4.4832,50,3.86,9.31
36,130,3.35,0.9588,100,3.86,9.31
36,130,3.35,0.15345,200,3.86,9.31
37,133,0.84,4.8768,50,3.86,9.31
37,133,0.84,0.9211999999999999,100,3.86,9.31
37,133,0.84,0.2325,200,3.86,9.31
38,136,2.09,3.5616,50,3.86,9.31
38,136,2.09,1.0058,100,3.86,9.31
38,136,2.09,0.1953,200,3.86,9.31
39,139,1.67,3.6959999999999997,50,3.86,9.31
39,139,1.67,0.9588,100,3.86,9.31
39,139,1.67,0.279,200,3.86,9.31
40,142,2.09,5.4432,50,3.86,9.31
40,142,2.09,0.8271999999999999,100,3.86,9.31
40,142,2.09,0.2604,200,3.86,9.31
41,145,4.6,6.5856,50,3.86,9.31
41,145,4.6,1.504,100,3.86,9.31
41,145,4.6,0.25110000000000005,200,3.86,9.31
42,148,5.02,8.5056,50,3.86,9.31
