post,azimuth,wind_direction,concentration,distance,U
45,88.5,5.625,12.42,200,3.98
46,90.0,5.83,172.04000000000002,50,3.98
46,90.0,5.83,50.508,100,3.98
46,90.0,5.83,11.776000000000002,200,3.98
47,91.5,7.29,173.88,50,3.98
47,91.5,7.29,49.266,100,3.98
47,91.5,7.29,11.086,200,3.98
48,93.0,8.75,175.72,50,3.98
48,93.0,8.75,48.02400000000001,100,3.98
48,93.0,8.75,10.396,200,3.98
49,94.5,9.165,166.52,50,3.98
49,94.5,9.165,43.562000000000005,100,3.98
49,94.5,9.165,9.982000000000001,200,3.98
50,96.0,9.58,157.32,50,3.98
50,96.0,9.58,39.1,100,3.98
50,96.0,9.58,9.568000000000001,200,3.98
51,97.5,6.875,132.02,50,3.98
51,97.5,6.875,33.488,100,3.98
51,97.5,6.875,8.556000000000001,200,3.98
52,99.0,4.17,106.72,50,3.98
52,99.0,4.17,27.876,100,3.98
52,99.0,4.17,7.544,200,3.98
53,100.5,4.585,99.82000000000001,50,3.98
53,100.5,4.585,25.208,100,3.98
53,100.5,4.585,6.0536,200,3.98
54,102.0,5.0,92.92,50,3.98
54,102.0,5.0,22.540000000000003,100,3.98
54,102.0,5.0,4.5632,200,3.98
55,103.5,6.665,90.896,50,3.98
55,103.5,6.665,20.562,100,3.98
55,103.5,6.665,4.8484,200,3.98
56,105.0,8.33,88.872,50,3.98
56,105.0,8.33,18.584,100,3.98
56,105.0,8.33,5.1336,200,3.98
57,106.5,6.875,19.55,100,3.98
57,106.5,6.875,4.8484,200,3.98
58,108.0,5.42,20.516000000000002,100,3.98
58,108.0,5.42,4.5632,200,3.98
59,109.5,5.21,7.82,50,3.98
59,109.5,5.21,20.746000000000002,100,3.98
59,109.5,5.21,4.310200000000001,200,3.98
60,111.0,5.0,106.72,50,3.98
60,111.0,5.0,20.976000000000003,100,3.98
60,111.0,5.0,4.0572,200,3.98
61,112.5,2.71,105.34,50,3.98
61,112.5,2.71,20.378,100,3.98
61,112.5,2.71,3.7950000000000004,200,3.98
62,114.0,0.42,103.96000000000001,50,3.98
62,114.0,0.42,19.78,100,3.98
62,114.0,0.42,3.5328,200,3.98
63,115.5,1.25,95.45,50,3.98
63,115.5,1.25,17.986,100,3.98
63,115.5,1.25,3.1694,200,3.98
64,117.0,2.08,86.94,50,3.98
64,117.0,2.08,16.192000000000004,100,3.98
64,117.0,2.08,2.806,200,3.98
65,118.5,1.665,86.80199999999999,50,3.98
65,118.5,1.665,14.628,100,3.98
65,118.5,1.665,2.6404,200,3.98
66,120.0,1.25,86.664,50,3.98
66,120.0,1.25,13.064,100,3.98
66,120.0,1.25,2.4748,200,3.98
67,121.5,2.085,76.13000000000001,50,3.98
67,121.5,2.085,14.122,100,3.98
67,121.5,2.085,2.1252,200,3.98
68,123.0,2.92,65.596,50,3.98
68,123.0,2.92,15.180000000000001,100,3.98
68,123.0,2.92,1.7756,200,3.98
69,124.5,2.5,56.672,50,3.98
69,124.5,2.5,10.7456,100,3.98
69,124.5,2.5,1.3248,200,3.98
70,126.0,2.08,47.748,50,3.98
70,126.0,2.08,6.3112,100,3.98
70,126.0,2.08,0.874,200,3.98
71,127.5,2.29,37.398,50,3.98
71,127.5,2.29,5.1106,100,3.98
71,127.5,2.29,0.7176,200,3.98
72,129.0,2.5,27.048,50,3.98
72,129.0,2.5,3.91,100,3.98
72,129.0,2.5,0.5612,200,3.98
73,130.5,2.29,17.664,50,3.98
73,130.5,2.29,3.6248,100,3.98
73,130.5,2.29,0.4692,200,3.98
74,132.0,2.08,8.280000000000001,50,3.98
74,132.0,2.08,3.3396,100,3.98
74,132.0,2.08,0.3772,200,3.98
75,133.5,2.08,7.8844,50,3.98
75,133.5,2.08,2.7278,100,3.98
75,133.5,2.08,0.27922,200,3.98
76,135.0,2.08,7.488800000000001,50,3.98
76,135.0,2.08,2.116,100,3.98
76,135.0,2.08,0.18124,200,3.98
77,136.5,1.25,7.567000000000002,50,3.98
77,136.5,1.25,1.5916000000000001,100,3.98
78,138.0,0.42,7.645200000000001,50,3.98
78,138.0,0.42,1.0672,100,3.98
82,144.0,0.83,2.7048,50,3.98
82,144.0,0.83,0.31648,100,3.98
83,145.5,0.625,3.4776000000000002,50,3.98
83,145.5,0.625,0.27462,100,3.98
84,147.0,0.42,4.2504,50,3.98
84,147.0,0.42,0.23276000000000002,100,3.98
40,81.0,0.83,1.2416,50,1.65
41,82.5,1.035,3.3173999999999997,50,1.65
42,84.0,1.24,5.393199999999999,50,1.65
43,85.5,2.07,13.318099999999998,50,1.65
44,87.0,2.9,21.243,50,1.65
44,87.0,2.9,0.16490000000000002,100,1.65
45,88.5,3.11,30.700499999999998,50,1.65
45,88.5,3.11,3.41925,100,1.65
46,90.0,3.32,40.157999999999994,50,1.65
46,90.0,3.32,6.6735999999999995,100,1.65
47,91.5,5.6,71.489,50,1.65
47,91.5,5.6,10.757299999999999,100,1.65
48,93.0,7.88,102.82,50,1.65
48,93.0,7.88,14.841000000000001,100,1.65
49,94.5,8.505,143.56,50,1.65
49,94.5,8.505,45.007999999999996,100,1.65
50,96.0,9.13,184.29999999999998,50,1.65
50,96.0,9.13,75.175,100,1.65
50,96.0,9.13,2.0467,200,1.65
51,97.5,9.545000000000002,245.89499999999998,50,1.65
51,97.5,9.545000000000002,129.2525,100,1.65
51,97.5,9.545000000000002,10.86885,200,1.65
52,99.0,9.96,307.49,50,1.65
52,99.0,9.96,183.32999999999998,100,1.65
52,99.0,9.96,19.691,200,1.65
53,100.5,12.24,311.37,50,1.65
53,100.5,12.24,224.07,100,1.65
53,100.5,12.24,59.8005,200,1.65
54,102.0,14.52,315.25,50,1.65
54,102.0,14.52,264.81,100,1.65
54,102.0,14.52,99.91,200,1.65
55,103.5,16.384999999999998,363.265,50,1.65
55,103.5,16.384999999999998,269.65999999999997,100,1.65
55,103.5,16.384999999999998,116.39999999999999,200,1.65
56,105.0,18.25,411.28,50,1.65
56,105.0,18.25,274.51,100,1.65
56,105.0,18.25,132.89,200,1.65
57,106.5,13.275,445.22999999999996,50,1.65
57,106.5,13.275,261.415,100,1.65
57,106.5,13.275,103.0625,200,1.65
58,108.0,8.3,479.18,50,1.65
58,108.0,8.3,248.32,100,1.65
58,108.0,8.3,73.235,200,1.65
59,109.5,7.470000000000001,446.685,50,1.65
59,109.5,7.470000000000001,225.525,100,1.65
59,109.5,7.470000000000001,51.555499999999995,200,1.65
60,111.0,6.64,414.19,50,1.65
60,111.0,6.64,202.73,100,1.65
60,111.0,6.64,29.876,200,1.65
61,112.5,7.26,394.305,50,1.65
61,112.5,7.26,135.703,100,1.65
61,112.5,7.26,16.0244,200,1.65
62,114.0,7.88,374.42,50,1.65
62,114.0,7.88,68.676,100,1.65
62,114.0,7.88,2.1728,200,1.65
63,115.5,5.39,324.465,50,1.65
63,115.5,5.39,43.940999999999995,100,1.65
63,115.5,5.39,1.25324,200,1.65
64,117.0,2.9,274.51,50,1.65
64,117.0,2.9,19.206,100,1.65
64,117.0,2.9,0.33368,200,1.65
65,118.5,3.11,195.94,50,1.65
65,118.5,3.11,10.80095,100,1.65
66,120.0,3.32,117.36999999999999,50,1.65
66,120.0,3.32,2.3959,100,1.65
67,121.5,2.0749999999999997,68.3365,50,1.65
67,121.5,2.0749999999999997,1.523385,100,1.65
68,123.0,0.83,19.302999999999997,50,1.65
68,123.0,0.83,0.6508700000000001,100,1.65
69,124.5,0.625,10.008944999999999,50,1.65
69,124.5,0.625,0.44135,100,1.65
70,126.0,0.42,0.7148899999999999,50,1.65
70,126.0,0.42,0.23182999999999998,100,1.65
71,127.5,0.42,0.5441699999999999,50,1.65
71,127.5,0.42,0.193515,100,1.65
72,129.0,0.42,0.37345,50,1.65
72,129.0,0.42,0.1552,100,1.65
73,130.5,0.42,0.15811,100,1.65
74,132.0,0.42,0.16102,100,1.65
30,66.0,1.25,0.96,50,2.61
31,67.5,2.085,3.0096,50,2.61
32,69.0,2.92,5.0592,50,2.61
33,70.5,4.17,9.3936,50,2.61
34,72.0,5.42,13.728,50,2.61
35,73.5,4.375,15.216,50,2.61
36,75.0,3.33,16.703999999999997,50,2.61
36,75.0,3.33,0.41568,100,2.61
37,76.5,7.29,25.2,50,2.61
37,76.5,7.29,0.84624,100,2.61
38,78.0,11.25,33.696,50,2.61
38,78.0,11.25,1.2768,100,2.61
38,78.0,11.25,0.03744,200,2.61
39,79.5,9.165,48.432,50,2.61
39,79.5,9.165,4.8096,100,2.61
39,79.5,9.165,0.28848,200,2.61
40,81.0,7.08,63.16799999999999,50,2.61
40,81.0,7.08,8.3424,100,2.61
40,81.0,7.08,0.53952,200,2.61
41,82.5,7.705,82.944,50,2.61
41,82.5,7.705,16.7952,100,2.61
41,82.5,7.705,1.6089600000000002,200,2.61
42,84.0,8.33,102.72,50,2.61
42,84.0,8.33,25.248,100,2.61
42,84.0,8.33,2.6784,200,2.61
43,85.5,7.705,121.92,50,2.61
43,85.5,7.705,36.96,100,2.61
43,85.5,7.705,5.6112,200,2.61
44,87.0,7.08,141.12,50,2.61
44,87.0,7.08,48.672000000000004,100,2.61
44,87.0,7.08,8.544,200,2.61
45,88.5,9.375,168.95999999999998,50,2.61
45,88.5,9.375,54.144000000000005,100,2.61
45,88.5,9.375,13.68,200,2.61
46,90.0,11.67,196.79999999999998,50,2.61
46,90.0,11.67,59.616,100,2.61
46,90.0,11.67,18.816,200,2.61
47,91.5,11.045,227.04,50,2.61
47,91.5,11.045,72.96,100,2.61
47,91.5,11.045,23.04,200,2.61
48,93.0,10.42,257.28,50,2.61
48,93.0,10.42,86.304,100,2.61
48,93.0,10.42,27.264,200,2.61
49,94.5,9.165,244.32,50,2.61
49,94.5,9.165,81.408,100,2.61
49,94.5,9.165,23.471999999999998,200,2.61
50,96.0,7.91,231.35999999999999,50,2.61
50,96.0,7.91,76.512,100,2.61
50,96.0,7.91,19.68,200,2.61
51,97.5,7.29,216.48,50,2.61
51,97.5,7.29,69.12,100,2.61
51,97.5,7.29,17.568,200,2.61
52,99.0,6.67,201.6,50,2.61
52,99.0,6.67,61.727999999999994,100,2.61
52,99.0,6.67,15.456000000000001,200,2.61
53,100.5,6.045,190.07999999999998,50,2.61
53,100.5,6.045,57.407999999999994,100,2.61
53,100.5,6.045,14.688,200,2.61
54,102.0,5.42,178.56,50,2.61
54,102.0,5.42,53.087999999999994,100,2.61
54,102.0,5.42,13.92,200,2.61
55,103.5,4.585,172.79999999999998,50,2.61
55,103.5,4.585,50.879999999999995,100,2.61
55,103.5,4.585,12.624,200,2.61
56,105.0,3.75,167.04,50,2.61
56,105.0,3.75,48.672000000000004,100,2.61
56,105.0,3.75,11.328,200,2.61
57,106.5,2.29,153.12,50,2.61
57,106.5,2.29,42.816,100,2.61
57,106.5,2.29,9.7104,200,2.61
58,108.0,0.83,139.2,50,2.61
58,108.0,0.83,36.96,100,2.61
58,108.0,0.83,8.092799999999999,200,2.61
59,109.5,1.25,111.984,50,2.61
59,109.5,1.25,28.128,100,2.61
59,109.5,1.25,5.812799999999999,200,2.61
60,111.0,1.67,84.768,50,2.61
60,111.0,1.67,19.296,100,2.61
60,111.0,1.67,3.5328,200,2.61
61,112.5,1.46,60.57599999999999,50,2.61
61,112.5,1.46,13.8672,100,2.61
61,112.5,1.46,2.0841600000000002,200,2.61
62,114.0,1.25,36.384,50,2.61
62,114.0,1.25,8.4384,100,2.61
62,114.0,1.25,0.63552,200,2.61
63,115.5,0.835,23.712,50,2.61
63,115.5,0.835,5.006399999999999,100,2.61
63,115.5,0.835,0.41376,200,2.61
64,117.0,0.42,11.04,50,2.61
64,117.0,0.42,1.5743999999999998,100,2.61
64,117.0,0.42,0.192,200,2.61
24,57.0,0.83,0.5326799999999999,50,3.86
25,58.5,1.455,1.6647399999999999,50,3.86
26,60.0,2.08,2.7968,50,3.86
27,61.5,2.08,3.8502000000000005,50,3.86
