Run 1
Post Number,Degrees,Azimuth (Degrees),Wind-Dir (%),Concentrations (mg/m3) 50,Concentrations (mg/m3) 100,Concentrations (mg/m3) 200
8,21,46,14.380,13.300,4.550,1.200
9,24,49,10.540,14.100,5.120,1.350
10,27,52,13.740,13.700,4.900,1.240
11,30,55,12.460,11.700,4.010,1.070
12,33,58,14.380,8.930,2.710,0.770
13,36,61,6.390,6.050,1.480,0.350
14,39,64,8.310,3.610,0.990,0.130
15,42,67,4.150,2.310,0.370,0.030
16,45,70,3.190,0.870,0.160,0.005
17,48,73,0.320,0.155,0.005,NaN
18,51,76,NaN,0.025,NaN,NaN
19,54,79,NaN,NaN,0.010,NaN
20,57,82,NaN,0.010,0.010,NaN
21,60,85,NaN,0.010,NaN,NaN
22,63,88,NaN,0.010,NaN,NaN
23,66,91,NaN,0.010,NaN,NaN
24,69,94,NaN,NaN,NaN,NaN
Run 8
24,69,94,NaN,NaN,NaN,NaN
25,72,97,NaN,0.290,0.380,0.135
26,75,100,0.420,1.540,0.960,0.330
27,78,103,NaN,2.360,1.160,0.310
28,81,106,0.840,2.620,1.400,0.630
29,84,109,2.090,3.680,2.070,0.690
30,87,112,1.670,5.260,2.020,0.500
31,90,115,7.110,5.020,1.180,0.320
32,93,118,3.350,6.340,0.780,0.145
33,96,121,7.950,5.440,1.070,0.125
34,99,124,4.180,4.370,0.870,0.165
35,102,127,1.260,2.680,0.740,0.165
36,105,130,3.350,4.670,1.020,0.165
37,108,133,0.840,5.080,0.980,0.250
38,111,136,2.090,3.710,1.070,0.210
39,114,139,1.670,3.850,1.020,0.300
40,117,142,2.090,5.670,0.880,0.280
41,120,145,4.600,6.860,1.600,0.270
42,123,148,5.020,8.860,2.640,0.460
43,126,151,7.110,9.820,2.510,0.520
44,129,154,7.110,8.070,2.990,0.470
45,132,157,6.700,9.050,2.720,0.290
46,135,160,10.040,6.030,2.300,0.290
47,138,163,5.020,11.100,1.960,0.175
48,141,166,3.770,9.420,2.140,0.210
49,144,169,2.090,9.420,2.480,0.380
50,147,172,3.770,11.000,2.070,0.300
51,150,175,1.670,8.120,2.000,0.410
52,153,178,0.420,7.020,1.120,0.290
53,156,181,2.930,5.540,0.760,0.145
54,159,184,0.420,2.690,0.870,0.310
55,162,187,0.420,1.510,0.680,0.050
56,165,190,NaN,0.450,0.105,NaN
57,168,193,NaN,0.105,NaN,NaN
Run 9
1,0,25,0.420,0.145,0.050,NaN
2,3,28,NaN,0.480,0.070,NaN
3,6,31,0.420,1.850,0.145,0.010
4,9,34,0.840,2.590,0.820,0.060
5,12,37,2.530,4.770,1.440,0.340
6,15,40,5.910,6.650,2.400,0.640
7,18,43,4.640,10.100,3.340,0.970
8,21,46,13.080,14.400,4.960,1.240
9,24,49,12.660,16.500,5.970,1.560
10,27,52,11.390,16.400,5.030,1.300
11,30,55,12.660,13.300,4.450,96.000
12,33,58,10.120,8.820,2.920,0.680
13,36,61,6.330,6.970,2.070,0.460
14,39,64,5.910,4.670,1.230,0.410
15,42,67,2.950,2.830,0.520,0.330
16,45,70,1.270,2.020,0.750,0.270
17,48,73,1.690,1.740,0.850,0.040
18,51,76,2.110,1.160,0.260,NaN
19,54,79,1.270,0.390,0.070,NaN
20,57,82,1.690,0.070,NaN,NaN
21,60,85,1.690,0.015,NaN,NaN
22,63,88,0.420,NaN,NaN,NaN
23,66,91,NaN,NaN,NaN,NaN
Run 10
7,18,43,NaN,NaN,NaN,NaN
8,21,46,0.420,NaN,NaN,NaN
9,24,49,0.840,0.065,NaN,NaN
10,27,52,0.420,0.120,NaN,NaN
11,30,55,0.420,0.420,0.020,NaN
12,33,58,0.420,0.850,0.065,NaN
13,36,61,2.510,1.920,0.165,NaN
14,39,64,2.930,2.440,0.380,NaN
15,42,67,4.180,3.610,0.780,0.030
16,45,70,7.950,5.390,1.090,0.200
17,48,73,5.860,7.320,1.980,0.370
18,51,76,7.950,8.750,2.570,0.560
19,54,79,8.790,8.710,2.340,0.630
20,57,82,7.530,8.130,2.170,0.490
21,60,85,5.850,6.900,2.140,0.640
22,63,88,6.270,6.490,2.180,0.450
23,66,91,6.690,5.010,1.710,0.300
24,69,94,3.350,4.660,1.270,0.180
25,72,97,6.690,4.740,1.260,0.310
26,75,100,3.350,3.780,1.370,0.250
27,78,103,3.770,3.280,0.790,0.230
28,81,106,2.510,3.160,0.880,0.220
29,84,109,1.670,2.510,1.190,0.350
30,87,112,2.090,2.910,0.990,0.260
31,90,115,2.090,2.190,0.900,0.160
32,93,118,1.260,1.190,0.370,0.060
33,96,121,2.510,0.760,0.085,0.030
34,99,124,0.420,0.420,0.085,NaN
35,102,127,0.420,0.330,0.035,NaN
36,105,130,NaN,0.250,NaN,NaN
37,108,133,NaN,0.115,NaN,NaN
38,111,136,0.840,0.035,NaN,NaN
39,114,139,NaN,0.030,NaN,NaN
40,117,142,NaN,NaN,NaN,NaN
Run 11
10,27,52,NaN,NaN,NaN,NaN
11,30,55,NaN,0.065,NaN,NaN
12,33,58,NaN,0.280,NaN,NaN
13,36,61,NaN,0.290,NaN,NaN
14,39,64,NaN,0.500,0.145,NaN
15,42,67,2.080,1.160,0.270,NaN
16,45,70,2.500,2.360,0.820,0.065
17,48,73,1.250,3.090,0.850,0.135
18,51,76,2.920,3.980,1.070,0.210
19,54,79,5.420,5.630,1.450,0.340
20,57,82,5.830,7.150,1.670,0.460
21,60,85,7.080,8.080,2.300,0.460
22,63,88,13.340,8.150,3.210,0.530
23,66,91,11.670,8.150,2.300,0.650
24,69,94,8.750,7.700,2.410,0.700
25,72,97,5.830,6.820,2.550,0.750
26,75,100,6.250,7.000,2.230,0.560
27,78,103,5.420,6.300,1.650,0.340
28,81,106,4.580,5.290,1.490,0.220
29,84,109,4.580,4.350,0.990,0.165
30,87,112,5.830,3.530,0.740,0.080
31,90,115,1.250,2.760,0.560,0.025
32,93,118,1.670,1.230,0.260,NaN
33,96,121,0.830,0.830,0.025,NaN
34,99,124,1.670,0.350,NaN,NaN
35,102,127,0.830,0.100,NaN,NaN
36,105,130,0.420,NaN,NaN,NaN
37,108,133,NaN,NaN,NaN,NaN
Run 12
6,15,40,NaN,NaN,NaN,NaN
7,18,43,NaN,0.035,NaN,NaN
8,21,46,0.630,0.160,NaN,NaN
9,24,49,2.300,0.440,NaN,NaN
10,27,52,4.170,0.940,0.085,NaN
11,30,55,6.890,4.190,0.400,0.050
12,33,58,4.800,5.670,1.730,0.330
13,36,61,2.300,6.250,1.920,0.400
14,39,64,3.130,5.710,1.040,0.125
15,42,67,4.170,4.650,0.900,0.085
