Run,Post Number,Degrees,Azimuth (Degrees),Wind-Dir (%),Height (m),Distance,Concentration (mg/m3)
2.0,54.0,1.5,102.0,8.71,4.8,50,100.1
2.0,55.0,1.5,103.5,4.2735,4.8,100,25.443
2.0,55.0,1.5,103.5,4.2735,4.8,200,8.1134
2.0,55.0,1.5,103.5,4.2735,4.8,50,70.163
2.0,56.0,1.5,105.0,9.54,2.5,100,16.926
2.0,56.0,1.5,105.0,9.54,2.5,200,4.2679
2.0,56.0,1.5,105.0,9.54,2.5,50,86.359
2.0,57.0,1.5,106.5,4.2735,1.0,100,25.443
2.0,57.0,1.5,106.5,4.2735,1.0,200,8.1134
2.0,57.0,1.5,106.5,4.2735,1.0,50,70.163
2.0,58.0,1.5,108.0,6.22,0.5,100,18.109
2.0,58.0,1.5,108.0,6.22,0.5,200,3.2669
2.0,58.0,1.5,108.0,6.22,0.5,50,59.878
2.0,59.0,1.5,109.5,4.2735,4.8,100,25.443
2.0,59.0,1.5,109.5,4.2735,4.8,200,8.1134
2.0,59.0,1.5,109.5,4.2735,4.8,50,70.163
2.0,60.0,1.5,111.0,2.49,4.8,100,11.011
2.0,60.0,1.5,111.0,2.49,4.8,200,1.7472
2.0,60.0,1.5,111.0,2.49,4.8,50,37.219
2.0,61.0,1.5,112.5,4.2735,4.8,100,25.443
2.0,61.0,1.5,112.5,4.2735,4.8,200,8.1134
2.0,61.0,1.5,112.5,4.2735,4.8,50,70.163
2.0,62.0,1.5,114.0,2.07,4.8,100,8.645
2.0,62.0,1.5,114.0,2.07,4.8,200,2.0748
2.0,62.0,1.5,114.0,2.07,4.8,50,27.755
2.0,63.0,1.5,115.5,4.2735,4.8,100,25.443
2.0,63.0,1.5,115.5,4.2735,4.8,200,8.1134
2.0,63.0,1.5,115.5,4.2735,4.8,50,70.163
2.0,64.0,1.5,117.0,2.91,4.8,100,6.8523
2.0,64.0,1.5,117.0,2.91,4.8,200,1.5106
2.0,64.0,1.5,117.0,2.91,4.8,50,27.937
2.0,65.0,1.5,118.5,4.2735,4.8,100,25.443
2.0,65.0,1.5,118.5,4.2735,4.8,200,8.1134
2.0,65.0,1.5,118.5,4.2735,4.8,50,70.163
2.0,66.0,1.5,120.0,4.15,2.5,100,4.1223
2.0,66.0,1.5,120.0,4.15,2.5,200,0.9737
2.0,66.0,1.5,120.0,4.15,2.5,50,16.471
2.0,67.0,1.5,121.5,4.2735,1.0,100,25.443
2.0,67.0,1.5,121.5,4.2735,1.0,200,8.1134
2.0,67.0,1.5,121.5,4.2735,1.0,50,70.163
2.0,68.0,1.5,123.0,3.32,0.5,100,1.7199
2.0,68.0,1.5,123.0,3.32,0.5,200,1.1466
2.0,68.0,1.5,123.0,3.32,0.5,50,8.6541
2.0,69.0,1.5,124.5,4.2735,4.8,100,25.443
2.0,69.0,1.5,124.5,4.2735,4.8,200,8.1134
2.0,69.0,1.5,124.5,4.2735,4.8,50,70.163
2.0,70.0,1.5,126.0,1.25,4.8,100,1.7017
2.0,70.0,1.5,126.0,1.25,4.8,200,0.76531
2.0,70.0,1.5,126.0,1.25,4.8,50,6.1243
2.0,71.0,1.5,127.5,4.2735,4.8,100,25.443
2.0,71.0,1.5,127.5,4.2735,4.8,200,8.1134
2.0,71.0,1.5,127.5,4.2735,4.8,50,70.163
2.0,72.0,1.5,129.0,1.25,4.8,100,1.5743
2.0,72.0,1.5,129.0,1.25,4.8,200,0.44681
2.0,72.0,1.5,129.0,1.25,4.8,50,3.5945
2.0,73.0,1.5,130.5,4.2735,4.8,100,25.443
2.0,73.0,1.5,130.5,4.2735,4.8,200,8.1134
2.0,73.0,1.5,130.5,4.2735,4.8,50,70.163
2.0,74.0,1.5,132.0,0.83,4.8,100,2.2659
2.0,74.0,1.5,132.0,0.83,4.8,200,0.27391
2.0,74.0,1.5,132.0,0.83,4.8,50,6.8341
2.0,75.0,1.5,133.5,4.2735,4.8,100,25.443
2.0,75.0,1.5,133.5,4.2735,4.8,200,8.1134
2.0,75.0,1.5,133.5,4.2735,4.8,50,70.163
2.0,76.0,1.5,135.0,1.25,2.5,100,1.911
2.0,76.0,1.5,135.0,1.25,2.5,200,0.07189
2.0,76.0,1.5,135.0,1.25,2.5,50,9.646
2.0,77.0,1.5,136.5,4.2735,1.0,100,25.443
2.0,77.0,1.5,136.5,4.2735,1.0,200,8.1134
2.0,77.0,1.5,136.5,4.2735,1.0,50,70.163
2.0,78.0,1.5,138.0,0.42,0.5,100,0.364
2.0,78.0,1.5,138.0,0.42,0.5,200,8.1134
2.0,78.0,1.5,138.0,0.42,0.5,50,9.555
2.0,79.0,1.5,139.5,4.2735,4.8,100,25.443
2.0,79.0,1.5,139.5,4.2735,4.8,200,8.1134
2.0,79.0,1.5,139.5,4.2735,4.8,50,70.163
