Run,Post Number,Degrees,Azimuth (Degrees),Wind-Dir (%),Height (m),Corrected_10-min Concentrations (mg/m3) 50,Corrected_10-min Concentrations (mg/m3) 100,Corrected_10-min Concentrations (mg/m3) 200,Corrected_3-min Concentrations (mg/m3) 50,Corrected_3-min Concentrations (mg/m3) 100,Corrected_3-min Concentrations (mg/m3) 200,Corrected_0.5-min Concentrations (mg/m3) 50,Corrected_0.5-min Concentrations (mg/m3) 100,Corrected_0.5-min Concentrations (mg/m3) 200,10-min Vertical Samples Concentrations (mg/m3) 50,10-min Vertical Samples Concentrations (mg/m3) 100,10-min Vertical Samples Concentrations (mg/m3) 200
2.0,57.0,1.5,106.5,4.2735,1.0,70.163,25.443,8.1134,66.309,17.763,5.7009,158.4,51.75,14.04,98.6,29.573,9.3305
2.0,58.0,1.5,108.0,6.22,0.5,59.878,18.109,3.2669,79.98,16.833,3.5619,189.0,55.89,9.54,110.0,19.9,4.66
2.0,59.0,1.5,109.5,4.2735,4.8,70.163,25.443,8.1134,64.821,15.066,2.8365,176.4,42.93,4.824,86.326,29.573,9.3305
2.0,60.0,1.5,111.0,2.49,4.8,37.219,11.011,1.7472,39.06,11.253,1.5624,121.5,30.69,4.824,86.326,29.573,9.3305
2.0,61.0,1.5,112.5,4.2735,4.8,70.163,25.443,8.1134,26.505,6.789,0.6975,90.9,13.77,8.82,86.326,29.573,9.3305
2.0,62.0,1.5,114.0,2.07,4.8,27.755,8.645,2.0748,19.995,4.3059,0.23901,71.1,6.786,1.476,86.326,29.573,9.3305
2.0,63.0,1.5,115.5,4.2735,4.8,70.163,25.443,8.1134,15.717,1.7763,0.22599,63.18,1.638,1.386,86.326,29.573,9.3305
2.0,64.0,1.5,117.0,2.91,4.8,27.937,6.8523,1.5106,9.951,1.3113,9.1133,40.14,2.25,0.468,86.326,29.573,9.3305
2.0,65.0,1.5,118.5,4.2735,4.8,70.163,25.443,8.1134,5.4219,0.5766,9.1133,17.82,57.722,0.864,86.326,29.573,9.3305
2.0,66.0,1.5,120.0,4.15,2.5,16.471,4.1223,0.9737,2.046,0.17391,9.1133,10.62,57.722,2.124,17.4,4.73,1.09
2.0,67.0,1.5,121.5,4.2735,1.0,70.163,25.443,8.1134,0.64449,38.936,9.1133,1.494,57.722,10.325,20.1,29.573,9.3305
2.0,68.0,1.5,123.0,3.32,0.5,8.6541,1.7199,1.1466,103.69,38.936,9.1133,139.1,57.722,10.325,22.3,5.43,1.56
2.0,69.0,1.5,124.5,4.2735,4.8,70.163,25.443,8.1134,103.69,38.936,9.1133,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,70.0,1.5,126.0,1.25,4.8,6.1243,1.7017,0.76531,103.69,38.936,9.1133,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,71.0,1.5,127.5,4.2735,4.8,70.163,25.443,8.1134,103.69,38.936,9.1133,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,72.0,1.5,129.0,1.25,4.8,3.5945,1.5743,0.44681,103.69,38.936,9.1133,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,73.0,1.5,130.5,4.2735,4.8,70.163,25.443,8.1134,103.69,38.936,9.1133,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,74.0,1.5,132.0,0.83,4.8,6.8341,2.2659,0.27391,103.69,38.936,9.1133,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,75.0,1.5,133.5,4.2735,4.8,70.163,25.443,8.1134,103.69,38.936,9.1133,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,76.0,1.5,135.0,1.25,2.5,9.646,1.911,0.07189,103.69,38.936,9.1133,139.1,57.722,10.325,7.15,1.93,0.077
2.0,77.0,1.5,136.5,4.2735,1.0,70.163,25.443,8.1134,103.69,38.936,9.1133,139.1,57.722,10.325,10.5,29.573,9.3305
2.0,78.0,1.5,138.0,0.42,0.5,9.555,0.364,8.1134,103.69,38.936,9.1133,139.1,57.722,10.325,12.5,1.89,0.036
2.0,79.0,1.5,139.5,4.2735,4.8,70.163,25.443,8.1134,103.69,38.936,9.1133,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,80.0,1.5,141.0,0.83,4.8,3.9949,0.12194,8.1134,103.69,38.936,9.1133,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,81.0,1.5,142.5,4.2735,4.8,70.163,25.443,8.1134,103.69,38.936,9.1133,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,82.0,1.5,144.0,4.2735,4.8,1.729,0.04186,8.1134,103.69,38.936,9.1133,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,83.0,1.5,145.5,4.2735,4.8,70.163,25.443,8.1134,103.69,38.936,9.1133,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,84.0,1.5,147.0,4.2735,4.8,1.2831,25.443,8.1134,103.69,38.936,9.1133,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,85.0,1.5,148.5,4.2735,4.8,70.163,25.443,8.1134,103.69,38.936,9.1133,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,86.0,1.5,150.0,4.2735,2.5,0.07007,25.443,8.1134,103.69,38.936,9.1133,139.1,57.722,10.325,0.093,29.573,9.3305
2.0,87.0,1.5,151.5,4.2735,1.0,70.163,25.443,8.1134,103.69,38.936,9.1133,139.1,57.722,10.325,0.08,29.573,9.3305
3.0,45.0,1.5,88.5,4.2735,4.8,71.705,26.002,8.2917,105.92,39.774,9.3092,146.82,60.928,10.898,86.326,29.573,9.3305
3.0,46.0,1.5,90.0,0.42,4.8,71.705,26.002,8.2917,105.92,39.774,9.3092,146.82,60.928,10.898,86.326,29.573,9.3305
3.0,47.0,1.5,91.5,4.2735,4.8,71.705,26.002,8.2917,105.92,39.774,9.3092,146.82,60.928,10.898,86.326,29.573,9.3305
3.0,48.0,1.5,93.0,4.2735,4.8,0.02883,26.002,8.2917,105.92,39.774,9.3092,146.82,60.928,10.898,86.326,29.573,9.3305
3.0,49.0,1.5,94.5,4.2735,4.8,71.705,26.002,8.2917,105.92,39.774,9.3092,146.82,60.928,10.898,86.326,29.573,9.3305
3.0,50.0,1.5,96.0,1.25,4.8,0.45198,26.002,8.2917,105.92,39.774,9.3092,146.82,60.928,10.898,86.326,29.573,9.3305
3.0,51.0,1.5,97.5,4.2735,4.8,71.705,26.002,8.2917,105.92,39.774,9.3092,146.82,60.928,10.898,86.326,29.573,9.3305
3.0,52.0,1.5,99.0,0.83,4.8,0.57288,26.002,8.2917,105.92,39.774,9.3092,146.82,60.928,10.898,86.326,29.573,9.3305
3.0,53.0,1.5,100.5,4.2735,4.8,71.705,26.002,8.2917,105.92,39.774,9.3092,146.82,60.928,10.898,86.326,29.573,9.3305
3.0,54.0,1.5,102.0,1.25,4.8,4.0176,26.002,8.2917,105.92,39.774,9.3092,146.82,60.928,10.898,86.326,29.573,9.3305
3.0,55.0,1.5,103.5,4.2735,4.8,71.705,26.002,8.2917,105.92,39.774,9.3092,146.82,60.928,10.898,86.326,29.573,9.3305
3.0,56.0,1.5,105.0,2.5,2.5,11.067,0.18879,8.2917,0.46835,39.774,9.3092,2.565,60.928,10.898,11.7,0.218,9.3305
3.0,57.0,1.5,106.5,4.2735,1.0,71.705,26.002,8.2917,4.1135,0.52915,9.3092,15.01,60.928,10.898,10.7,29.573,9.3305
3.0,58.0,1.5,108.0,3.33,0.5,19.623,1.2462,0.03534,4.845,0.36385,0.09785,24.89,60.928,10.898,9.1,0.211,9.3305
3.0,59.0,1.5,109.5,4.2735,4.8,71.705,26.002,8.2917,11.59,3.42,0.43415,40.28,1.045,0.532,86.326,29.573,9.3305
3.0,60.0,1.5,111.0,2.5,4.8,41.664,4.1943,0.24738,21.47,3.8665,0.61085,83.03,4.921,1.235,86.326,29.573,9.3305
3.0,61.0,1.5,112.5,4.2735,4.8,71.705,26.002,8.2917,18.05,14.535,1.273,106.4,25.65,5.187,86.326,29.573,9.3305
3.0,62.0,1.5,114.0,7.5,4.8,76.353,20.367,1.9344,57.285,22.895,2.9165,175.75,40.28,6.802,86.326,29.573,9.3305
3.0,63.0,1.5,115.5,4.2735,4.8,71.705,26.002,8.2917,73.815,25.84,5.7665,205.2,37.81,10.83,86.326,29.573,9.3305
3.0,64.0,1.5,117.0,5.42,4.8,112.53,34.038,7.719,77.235,23.37,8.7685,164.35,46.36,9.462,86.326,29.573,9.3305
3.0,65.0,1.5,118.5,4.2735,4.8,71.705,26.002,8.2917,109.25,31.635,15.39,187.15,65.74,15.39,86.326,29.573,9.3305
3.0,66.0,1.5,120.0,9.17,2.5,143.22,52.638,15.159,151.05,41.515,17.48,190.0,76.38,20.52,107.0,50.1,14.9
3.0,67.0,1.5,121.5,4.2735,1.0,71.705,26.002,8.2917,190.0,48.45,17.195,207.1,87.59,25.65,189.0,29.573,9.3305
3.0,68.0,1.5,123.0,5.0,0.5,221.34,64.914,18.972,223.25,68.4,15.2,164.35,101.65,26.41,211.0,62.4,16.3
3.0,69.0,1.5,124.5,4.2735,4.8,71.705,26.002,8.2917,307.8,79.515,9.3385,233.7,108.3,13.87,86.326,29.573,9.3305
3.0,70.0,1.5,126.0,10.0,4.8,243.66,68.727,20.739,342.0,82.935,12.065,220.4,99.75,6.004,86.326,29.573,9.3305
3.0,71.0,1.5,127.5,4.2735,4.8,71.705,26.002,8.2917,332.5,73.815,17.86,109.25,49.59,3.895,86.326,29.573,9.3305
3.0,72.0,1.5,129.0,10.83,4.8,190.65,54.963,18.693,284.05,64.315,17.86,53.58,14.155,2.375,86.326,29.573,9.3305
3.0,73.0,1.5,130.5,4.2735,4.8,71.705,26.002,8.2917,217.55,57.285,15.105,12.35,5.415,1.121,86.326,29.573,9.3305
3.0,74.0,1.5,132.0,9.17,4.8,126.48,41.664,9.579,149.15,50.35,11.305,12.54,0.76,10.898,86.326,29.573,9.3305
3.0,75.0,1.5,133.5,4.2735,4.8,71.705,26.002,8.2917,112.1,38.0,4.845,3.99,60.928,10.898,86.326,29.573,9.3305
3.0,76.0,1.5,135.0,5.42,2.5,102.3,23.622,3.0132,94.05,27.74,2.508,0.684,60.928,10.898,80.9,25.9,-99.0
3.0,77.0,1.5,136.5,4.2735,1.0,71.705,26.002,8.2917,96.9,22.42,1.3015,146.82,60.928,10.898,125.0,29.573,9.3305
3.0,78.0,1.5,138.0,7.5,0.5,80.445,12.369,0.79515,94.05,15.58,0.29165,146.82,60.928,10.898,140.0,25.6,3.65
3.0,79.0,1.5,139.5,4.2735,4.8,71.705,26.002,8.2917,65.55,10.735,0.13585,146.82,60.928,10.898,86.326,29.573,9.3305
